Order Date,Region,Sales,Profit,Month-Year
2015-01-07,West,13.01,4.56,2015-01
2015-06-13,West,6362.85,4390.3665,2015-06
2015-02-15,East,211.15,-53.8096,2015-02
2015-05-12,Central,1164.45,803.4705,2015-05
2015-05-12,Central,22.23,-24.03,2015-05
2015-05-12,Central,13.99,-37.03,2015-05
2015-05-12,Central,14.26,-0.71,2015-05
2015-04-08,East,33.47,-59.82,2015-04
2015-05-28,East,379.53,261.8757,2015-05
2015-02-12,East,18.8,2.63,2015-02
2015-02-12,East,945.99,652.7331,2015-02
2015-05-15,West,455.77,314.4813,2015-05
2015-05-21,West,231.79,-114.6399,2015-05
2015-05-15,East,1876.69,384.38,2015-05
2015-05-21,East,293.06,-17.49,2015-05
2015-05-21,East,914.29,-114.6399,2015-05
2015-01-28,West,67.49,-28.2968,2015-01
2015-01-28,West,2.25,-5.3072,2015-01
2015-05-02,West,54.78,8.894,2015-05
2015-02-22,West,424.68,144.69,2015-02
2015-03-27,West,40.17,-35.8788,2015-03
2015-01-20,West,783.55,209.997,2015-01
2015-03-12,West,3838.14,3568.096,2015-03
2015-06-15,West,58.68,-84.4376,2015-06
2015-06-15,West,53.1,24.312,2015-06
2015-05-10,West,647.07,25.91382,2015-05
2015-03-10,West,627.04,162.666,2015-03
2015-01-28,West,3267.55,-6923.5992,2015-01
2015-03-10,West,110.19,-67.49,2015-03
2015-04-20,East,73.55,19.6282,2015-04
2015-04-20,East,29.57,-1.6524,2015-04
2015-05-09,Central,22.85,2.14,2015-05
2015-06-12,Central,506.39,349.4091,2015-06
2015-03-02,South,4.0,-37.5291,2015-03
2015-03-02,South,589.8,101.49,2015-03
2015-01-02,West,1225.6,845.664,2015-01
2015-01-02,East,1239.06,-308.928,2015-01
2015-01-02,East,4083.19,-1679.76,2015-01
2015-01-02,East,4902.38,575.396,2015-01
2015-02-02,East,5718.85,-2426.55,2015-02
2015-02-02,East,1400.53,-2426.55,2015-02
2015-03-15,East,1821.89,-715.778206,2015-03
2015-02-02,East,90.98,-144.56,2015-02
2015-03-30,East,10728.0,7402.32,2015-03
2015-06-03,West,3127.69,1892.424,2015-06
2015-03-22,West,41.82,28.8558,2015-03
2015-03-22,West,2875.72,173.48,2015-03
2015-05-17,West,170.8,117.852,2015-05
2015-02-18,West,53.54,34.0104,2015-02
2015-03-04,West,3363.53,2031.507,2015-03
2015-05-17,South,132.08,-190.68,2015-05
2015-05-17,South,45.34,325.398,2015-05
2015-06-07,South,216.04,22.818,2015-06
2015-05-03,Central,6276.34,116.1,2015-05
2015-05-03,Central,2664.4,-87.96,2015-05
2015-05-03,Central,1526.68,255.42,2015-05
2015-05-03,Central,1952.56,685.6146,2015-05
2015-06-22,East,303.59,-16.2,2015-06
2015-04-06,East,9459.94,2023.75,2015-04
2015-06-22,East,1233.32,-20.25,2015-06
2015-06-22,East,47.31,-3.381,2015-06
2015-04-06,East,2441.27,1684.4763,2015-04
2015-06-22,East,11.13,-2.7048,2015-06
2015-01-03,West,29.5,18.658,2015-01
2015-04-04,West,58.33,40.2477,2015-04
2015-04-04,West,20.42,14.0898,2015-04
2015-04-09,West,26.07,-55.84,2015-04
2015-01-03,West,122.23,9.82,2015-01
2015-04-04,West,228.46,112.06,2015-04
